person_id,name,name_type,case_id,role,is_matching_pair
PID99986,Varun Gupta,standard,C3672,victim,1
PID99986,Varun Guptaa,transliteration,C8178,reporter,1
PID99986,Vrun Gpta,typo,C7696,victim,1
PID28732,Varun Mishra,non_matching,C9843,victim,0
PID97007,Kavita Singh,standard,C3137,reporter,1
PID97007,Kawita Seengh,transliteration,C4609,witness,1
PID64948,Pooja Choudhary,standard,C8131,victim,1
PID64948,Ploja Choudjary,typo,C9416,reporter,1
PID32426,Rahul Agarwal,standard,C5201,suspect,1
PID32426,Raahul Agaarwal,transliteration,C7346,suspect,1
PID97125,Gaurav Choudhary,standard,C6261,witness,1
PID97125,Gaurab Choudhhary,phonetic,C3715,victim,1
PID27533,Neha Mishra,standard,C3249,reporter,1
PID27533,Neah Misha,typo,C8029,reporter,1
PID27533,Neha Mishra,phonetic,C6369,witness,1
PID81927,Neha Agarwal,standard,C8647,victim,1
PID81927,Nehaa Agaarwal,transliteration,C8815,reporter,1
PID81927,Nehaa Agaarwal,transliteration,C9278,victim,1
PID36826,Manish Kumar,standard,C8950,suspect,1
PID36826,Manlsh Kdumar,typo,C4312,reporter,1
PID73366,Manish Mehta,non_matching,C5014,suspect,0
PID74870,Vikram Yadav,standard,C1877,witness,1
PID74870,Vkram Yadoav,typo,C8350,witness,1
PID99310,Krishna Patel,standard,C1853,victim,1
PID99310,Krisna Paatel,transliteration,C4931,suspect,1
PID99310,Krishnna Pathel,phonetic,C3290,witness,1
PID99310,Krishhna Pathel,phonetic,C1256,victim,1
PID82548,Amit Mehta,standard,C1363,victim,1
PID82548,Ammit Mehtha,phonetic,C2912,reporter,1
PID82548,Amith Mehtha,phonetic,C2609,witness,1
PID90505,Ravi Mehta,non_matching,C3360,suspect,0
PID48796,Kavita Mishra,standard,C1149,witness,1
PID48796,Kavia Mtishra,typo,C8096,suspect,1
PID48796,Kaavita Meeshra,transliteration,C6496,witness,1
PID75414,Deepak Gupta,standard,C7313,suspect,1
PID75414,Deepak Guptha,phonetic,C7463,reporter,1
PID37225,Deepak Joshi,non_matching,C2404,witness,0
PID81588,Sanjay Trivedi,standard,C7941,witness,1
PID81588,Saanjay Triwedi,transliteration,C2917,suspect,1
PID81588,Sanjya Trivdi,typo,C1619,reporter,1
PID81588,Sanjay Trivedi,phonetic,C5165,suspect,1
PID26236,Pooja Chauhan,standard,C8736,reporter,1
PID26236,Poioja Chauahn,typo,C6255,witness,1
PID26236,Pooja Chauhann,phonetic,C2572,witness,1
PID35557,Rahul Joshi,standard,C7654,suspect,1
PID35557,Rahpl Josih,typo,C7334,victim,1
PID14347,Manish Patel,standard,C7277,witness,1
PID14347,Mannish Pathel,phonetic,C3772,witness,1
PID62020,Krishna Patel,non_matching,C6213,reporter,0
PID40510,Arjun Agarwal,standard,C1078,reporter,1
PID40510,Arjunn Agarval,phonetic,C3639,victim,1
PID84030,Varun Patel,standard,C3546,victim,1
PID84030,Varufn Patle,typo,C8431,suspect,1
PID84030,Varuv Patle,typo,C1294,witness,1
PID84030,Vaarun Paatel,transliteration,C4111,witness,1
PID55585,Manish Patel,standard,C4922,suspect,1
PID55585,Manitsh Pavel,typo,C5083,suspect,1
PID55585,Mannish Pathel,phonetic,C9112,reporter,1
PID55585,Manis Paatel,transliteration,C1735,victim,1
PID68013,Aarav Singh,standard,C9313,victim,1
PID68013,Aaraw Seengh,transliteration,C6081,suspect,1
PID68013,Aarva Signh,typo,C6627,victim,1
PID68013,Aaarav Seengh,transliteration,C1880,witness,1
PID70258,Aditya Singh,non_matching,C6219,suspect,0
PID88550,Lakshmi Mishra,standard,C4656,reporter,1
PID88550,Lakshmmi Mishra,phonetic,C3621,witness,1
PID88550,Laksmi Mishar,typo,C3848,witness,1
PID88550,Lakshmmi Mishra,phonetic,C6389,victim,1
PID54066,Divya Yadav,standard,C7033,witness,1
PID54066,Diyva Yadv,typo,C1480,reporter,1
PID54066,Dibya Yadhav,phonetic,C2663,victim,1
PID95241,Sanjay Patel,standard,C7235,witness,1
